Date,Ordered Product Sales,Ordered Product Sales - B2B,Units Ordered,Units Ordered - B2B,Total Order Items,Total Order Items - B2B,Average Sales per Order Item,Average Sales per Order Item - B2B,Average Units per Order Item,Average Units per Order Item - B2B,Average Selling Price,Average Selling Price - B2B,Sessions - Total,Sessions – Total – B2B,Order Item Session Percentage,Order Item Session Percentage - B2B,Average Offer Count
1/9/2022,"₹ 3,334.46",₹ 0.00,9,0,9,0,₹ 370.50,₹ 0.00,1,0,₹ 370.50,₹ 0.00,226,1,3.98%,0.00%,175
2/9/2022,"₹ 4,669.00",₹ 0.00,11,0,11,0,₹ 424.45,₹ 0.00,1,0,₹ 424.45,₹ 0.00,280,17,3.93%,0.00%,176
3/9/2022,"₹ 3,665.38",₹ 378.46,10,1,10,1,₹ 366.54,₹ 378.46,1,1,₹ 366.54,₹ 378.46,272,0,3.68%,0.00%,176
4/9/2022,"₹ 6,159.92",₹ 0.00,15,0,15,0,₹ 410.66,₹ 0.00,1,0,₹ 410.66,₹ 0.00,281,4,5.34%,0.00%,175
5/9/2022,"₹ 2,274.00",₹ 0.00,6,0,6,0,₹ 379.00,₹ 0.00,1,0,₹ 379.00,₹ 0.00,294,2,2.04%,0.00%,174
6/9/2022,"₹ 3,090.00",₹ 0.00,8,0,8,0,₹ 386.25,₹ 0.00,1,0,₹ 386.25,₹ 0.00,327,2,2.45%,0.00%,176
7/9/2022,"₹ 4,856.46",₹ 407.00,14,1,14,1,₹ 346.89,₹ 407.00,1,1,₹ 346.89,₹ 407.00,288,7,4.86%,14.29%,176
8/9/2022,"₹ 5,084.46",₹ 0.00,14,0,14,0,₹ 363.18,₹ 0.00,1,0,₹ 363.18,₹ 0.00,440,2,3.18%,0.00%,177
9/9/2022,"₹ 5,112.46",₹ 0.00,13,0,13,0,₹ 393.27,₹ 0.00,1,0,₹ 393.27,₹ 0.00,371,1,3.50%,0.00%,182
10/9/2022,"₹ 9,315.81",₹ 0.00,24,0,24,0,₹ 388.16,₹ 0.00,1,0,₹ 388.16,₹ 0.00,542,0,4.43%,0.00%,180
11/9/2022,"₹ 4,801.46",₹ 0.00,12,0,12,0,₹ 400.12,₹ 0.00,1,0,₹ 400.12,₹ 0.00,543,1,2.21%,0.00%,182
12/9/2022,"₹ 10,934.26",₹ 0.00,27,0,27,0,₹ 404.97,₹ 0.00,1,0,₹ 404.97,₹ 0.00,657,3,4.11%,0.00%,180
13/09/22,"₹ 5,026.81",₹ 0.00,13,0,11,0,₹ 456.98,₹ 0.00,1.18,0,₹ 386.68,₹ 0.00,465,1,2.37%,0.00%,180
14/09/22,"₹ 5,123.00",₹ 0.00,14,0,14,0,₹ 365.93,₹ 0.00,1,0,₹ 365.93,₹ 0.00,415,1,3.37%,0.00%,180
15/09/22,"₹ 7,751.22",₹ 0.00,20,0,20,0,₹ 387.56,₹ 0.00,1,0,₹ 387.56,₹ 0.00,501,1,3.99%,0.00%,179
16/09/22,"₹ 3,440.42",₹ 0.00,9,0,9,0,₹ 382.27,₹ 0.00,1,0,₹ 382.27,₹ 0.00,455,4,1.98%,0.00%,180
17/09/22,"₹ 8,744.68",₹ 0.00,22,0,22,0,₹ 397.49,₹ 0.00,1,0,₹ 397.49,₹ 0.00,583,9,3.77%,0.00%,180
18/09/22,"₹ 5,060.76",₹ 0.00,13,0,13,0,₹ 389.29,₹ 0.00,1,0,₹ 389.29,₹ 0.00,517,1,2.51%,0.00%,181
19/09/22,"₹ 8,258.88",₹ 0.00,21,0,21,0,₹ 393.28,₹ 0.00,1,0,₹ 393.28,₹ 0.00,507,3,4.14%,0.00%,179
20/09/22,"₹ 6,355.68",₹ 0.00,16,0,16,0,₹ 397.23,₹ 0.00,1,0,₹ 397.23,₹ 0.00,564,4,2.84%,0.00%,178
21/09/22,"₹ 6,914.65",₹ 0.00,18,0,18,0,₹ 384.15,₹ 0.00,1,0,₹ 384.15,₹ 0.00,728,3,2.47%,0.00%,181
22/09/22,"₹ 7,236.04",₹ 0.00,19,0,19,0,₹ 380.84,₹ 0.00,1,0,₹ 380.84,₹ 0.00,652,6,2.91%,0.00%,179
23/09/22,"₹ 15,992.40",₹ 0.00,42,0,42,0,₹ 380.77,₹ 0.00,1,0,₹ 380.77,₹ 0.00,814,1,5.16%,0.00%,179
24/09/22,"₹ 6,229.68",₹ 0.00,16,0,16,0,₹ 389.36,₹ 0.00,1,0,₹ 389.36,₹ 0.00,716,2,2.23%,0.00%,182
25/09/22,"₹ 5,663.30",₹ 0.00,15,0,15,0,₹ 377.55,₹ 0.00,1,0,₹ 377.55,₹ 0.00,465,7,3.23%,0.00%,182
26/09/22,"₹ 11,869.41",₹ 0.00,31,0,26,0,₹ 456.52,₹ 0.00,1.19,0,₹ 382.88,₹ 0.00,446,2,5.83%,0.00%,186
27/09/22,"₹ 8,968.58",₹ 0.00,23,0,23,0,₹ 389.94,₹ 0.00,1,0,₹ 389.94,₹ 0.00,440,5,5.23%,0.00%,187
28/09/22,"₹ 6,681.89",₹ 367.63,17,1,17,1,₹ 393.05,₹ 367.63,1,1,₹ 393.05,₹ 367.63,481,13,3.53%,7.69%,189
29/09/22,"₹ 4,333.63",₹ 367.63,11,1,11,1,₹ 393.97,₹ 367.63,1,1,₹ 393.97,₹ 367.63,503,21,2.19%,4.76%,188
30/09/22,"₹ 4,319.00",₹ 0.00,12,0,12,0,₹ 359.92,₹ 0.00,1,0,₹ 359.92,₹ 0.00,580,1,2.07%,0.00%,195
